x_axis, y_axis
8, 80
17, 44
56, 72
61, 38
80, 93
46, 10
3, 5
26, 85
72, 9
63, 75
48, 49
98, 91
18, 11
21, 34
90, 40
97, 61
69, 88
55, 24
12, 86
89, 44
28, 9
73, 27
16, 78
97, 95
39, 64
78, 21
94, 60
68, 5
72, 58
42, 40
72, 69
57, 17
41, 53
57, 41
90, 39
39, 92
54, 97
26, 78
20, 41
46, 74
62, 89
75, 17
16, 98
6, 78
80, 65
92, 72
52, 91
21, 10
82, 8
34, 20
7, 49
10, 68
97, 7
51, 36
85, 1
14, 5
55, 29
12, 61
88, 10
23, 53
71, 82
54, 75
73, 34
92, 16
49, 66
60, 64
71, 84
40, 7
56, 50
55, 83
47, 59
51, 78
98, 35
86, 60
19, 92
34, 59
91, 62
89, 95
73, 44
90, 19
15, 99
96, 50
44, 1
13, 5
90, 15
19, 29
44, 88
12, 27
17, 3
11, 93
67, 4
31, 96
66, 33
0, 72
81, 21
9, 25
10, 44
39, 56
14, 15
4, 62
