x_axis, y_axis
23, 90
23, 99
62, 80
53, 56
60, 72
54, 45
47, 37
93, 7
51, 58
11, 98
16, 16
0, 4
87, 8
53, 66
21, 10
77, 73
11, 96
29, 68
74, 22
42, 43
78, 44
27, 78
78, 26
90, 25
5, 41
91, 25
39, 7
63, 93
88, 99
80, 3
54, 58
84, 48
26, 31
23, 82
23, 18
35, 58
75, 64
77, 44
13, 79
96, 11
2, 1
1, 55
75, 7
75, 17
35, 6
4, 70
4, 31
89, 44
17, 88
38, 32
77, 20
82, 92
16, 85
18, 88
19, 41
95, 11
39, 91
13, 61
77, 55
6, 44
70, 65
43, 41
6, 27
23, 33
10, 30
52, 80
91, 25
95, 30
98, 39
64, 3
71, 45
64, 1
51, 62
36, 77
26, 99
80, 94
27, 43
60, 0
43, 28
57, 46
29, 0
79, 92
89, 53
34, 19
79, 94
30, 16
33, 60
66, 99
40, 81
17, 41
14, 86
73, 9
75, 9
72, 41
41, 51
6, 1
49, 46
79, 93
65, 57
26, 43
30, 45
47, 96
70, 45
81, 10
46, 66
65, 59
66, 81
47, 45
84, 31
87, 96
86, 21
72, 53
67, 76
1, 43
9, 52
6, 34
20, 16
8, 95
79, 39
45, 82
25, 58
7, 99
79, 14
5, 93
22, 1
52, 75
75, 71
98, 69
4, 33
41, 48
63, 72
86, 7
20, 0
38, 5
50, 77
30, 4
69, 5
57, 9
81, 45
64, 29
71, 78
44, 48
87, 70
57, 35
30, 3
35, 85
93, 53
43, 14
32, 16
91, 45
47, 23
37, 13
35, 85
24, 59
30, 59
64, 78
67, 59
70, 37
75, 69
59, 77
9, 39
68, 56
99, 35
36, 28
46, 92
63, 72
18, 35
22, 38
15, 41
33, 6
20, 86
96, 14
75, 84
5, 45
90, 79
91, 15
78, 16
18, 73
33, 98
51, 53
22, 79
44, 21
31, 52
41, 61
16, 50
76, 90
28, 45
55, 79
75, 48
44, 99
29, 70
73, 41
42, 10
13, 57
60, 17
62, 56
92, 81
82, 58
29, 7
24, 7
74, 12
92, 48
75, 10
19, 27
86, 53
89, 30
3, 97
44, 19
4, 99
24, 74
30, 40
29, 23
96, 17
83, 73
14, 64
73, 61
91, 66
62, 60
18, 8
55, 98
3, 81
51, 64
34, 50
75, 10
8, 94
77, 82
85, 0
6, 43
30, 6
24, 88
59, 81
84, 0
0, 32
41, 12
62, 34
46, 9
72, 89
89, 53
78, 26
0, 29
17, 90
91, 19
80, 42
93, 17
33, 72
4, 95
39, 96
97, 67
45, 75
4, 90
4, 98
46, 77
77, 30
57, 17
68, 34
81, 15
12, 44
42, 0
43, 81
93, 90
90, 85
11, 13
89, 45
64, 52
99, 97
23, 99
93, 90
56, 65
61, 3
98, 23
89, 18
88, 38
17, 81
51, 53
46, 84
9, 10
64, 15
14, 78
91, 91
54, 9
98, 51
71, 3
27, 80
34, 49
69, 22
42, 79
71, 4
14, 23
45, 20
96, 72
12, 75
58, 7
48, 20
87, 55
79, 94
66, 97
2, 84
44, 94
61, 29
19, 19
14, 14
42, 62
10, 81
7, 1
76, 27
53, 94
39, 66
15, 8
50, 53
53, 68
75, 96
87, 41
